datetime,open,high,low,close,volume,bb_middle,bb_std,bb_upper,bb_lower,rsi,candlestick
2025-02-03 09:15:00,22374.540118847362,22383.93613788813,22341.46680858118,22366.23471596141,7394,,,,,,
2025-02-03 09:30:00,22950.714306409915,22954.56288987896,22905.55062529797,22916.821555033024,1324,,,,,,
2025-02-03 09:45:00,22731.993941811405,22766.8017490683,22727.066599240756,22732.95272282662,8848,,,,,,
2025-02-03 10:00:00,22598.658484197036,22617.798422418855,22587.054555303726,22607.155816827533,9114,,,,,,
2025-02-03 10:15:00,22156.018640442435,22197.1101877717,22120.573640129856,22172.71104494518,7644,,,,,,
2025-02-03 10:30:00,22155.994520336204,22188.970058768242,22114.80729724059,22170.589181146952,5782,,,,,,
2025-02-03 10:45:00,22058.0836121682,22097.895684695268,22015.23216075167,22056.8596015796,4137,,,,,,
2025-02-03 11:00:00,22866.176145774934,22879.773447745858,22845.420786932187,22876.133941533655,4898,,,,,,Hammer
2025-02-03 11:15:00,22601.115011743208,22635.73295786626,22596.648016628616,22633.24491812348,1835,,,,,,
2025-02-03 11:30:00,22708.072577796047,22721.27567703073,22686.183503931064,22714.515904705902,5154,,,,,,
2025-02-03 11:45:00,22020.584494295803,22067.537918268317,22009.04776478545,22046.22372510082,3778,,,,,,
2025-02-03 12:00:00,22969.909852161993,23001.72856623866,22955.350029412162,22969.43616284327,7409,,,,,,
2025-02-03 12:15:00,22832.442640800422,22848.668230809188,22793.829262958545,22847.732947914228,5313,,,,,,Hammer
2025-02-03 12:30:00,22212.339110678276,22225.81470379289,22208.56275637698,22213.292139118177,6646,,,,,48.439881007007806,
2025-02-03 12:45:00,22181.8249672071,22191.371296460682,22140.445906333065,22150.76628914749,8608,,,,,47.82975841299632,
2025-02-03 13:00:00,22183.404509853433,22218.13655779812,22162.021055562225,22186.832755723026,4721,,,,,41.79721001411655,
2025-02-03 13:15:00,22304.24224295954,22315.178023609435,22274.43904640451,22276.754673119078,8911,,,,,44.76319465518662,
